time,x,y,x_gt,y_gt,error_x,error_y
231.0,-244.12181705801265,311.91696325138912,-250.00028420268987,299.99981752226472,5.8784671446772165,11.9171457291244
231.5,-243.97224310547011,311.6177341515708,-250.00028420504651,299.99981752080691,6.0280410995763987,11.617916630763887
232.0,-243.94291886388811,311.17848715264483,-250.0002842071799,299.99981751944864,6.0573653432917922,11.178669633196193
232.5,-244.12913135578108,310.60966569523259,-250.00028420908973,299.99981751819178,5.8711528533086437,10.609848177040817
233.0,-244.15666346452244,310.60119849614296,-250.00028421077664,299.99981751703768,5.8436207462542029,10.601380979105272
233.5,-244.62040065306738,310.64641628362295,-250.00028421224204,299.99981751598727,5.3798835591746581,10.64659876763568
234.0,-245.01610566282253,310.61289798892886,-250.00028421348827,299.99981751504095,4.9841785506657459,10.613080473887919
234.5,-244.77944283883633,310.67691544385082,-250.00028421451847,299.9998175141987,5.2208413756821415,10.67709792965212
235.0,-244.48570339501381,310.70456053363148,-250.00028421533702,299.99981751345996,5.5145808203232036,10.70474302017152
235.5,-244.16518069386495,310.84714244153901,-250.00028421594823,299.99981751282411,5.8351035220832728,10.847324928714897
236.0,-244.20831912012369,310.38813653582031,-250.00028421635764,299.99981751228967,5.7919650962339517,10.388319023530642
236.5,-243.99215723391103,310.23219027644643,-250.00028421657123,299.99981751185499,6.0081269826602011,10.232372764591446
237.0,-244.18014731972301,310.26378263855014,-250.00028421659562,299.99981751151802,5.8201368968726115,10.263965127032122
237.5,-244.01100314293325,309.94271760984651,-250.00028421643802,299.99981751127643,5.9892810735047703,9.9429000985700782
238.0,-244.60850988892702,310.08062570860938,-250.000284216106,299.99981751112767,5.3917743271789789,10.080808197481701
238.5,-244.35236698539276,310.62240013643947,-250.00028421560768,299.99981751106878,5.6479172302149152,10.622582625370683
239.0,-244.11181109491611,311.15525943169655,-250.00028421495148,299.99981751109652,5.8884731200353713,11.155441920600026
239.5,-244.42320278988171,311.28247890398131,-250.00028421414629,299.99981751120748,5.577081424264577,11.282661392773832
240.0,-244.45085714027019,311.45614680212162,-250.00028421320113,299.99981751139802,5.5494270729309392,11.456329290723602
240.5,-244.73004419813836,311.73854042495623,-250.00028421212545,299.99981751166422,5.2702400139870917,11.738722913292008
241.0,-244.59348353499325,312.03535940443868,-250.00028421092864,299.99981751200215,5.4068006759353864,12.035541892436527
241.5,-244.57847879189885,311.82638261127875,-250.00028420962033,299.9998175124075,5.4218054177214867,11.826565098871242
242.0,-244.87006291057773,311.8408147287023,-250.00028420821036,299.99981751287612,5.1302212976326302,11.840997215826178
242.5,-244.68443315797489,311.90431911878926,-250.00028420670853,299.99981751340357,5.3158510487336343,11.90450160538569
243.0,-244.58940736736977,311.88385752148338,-250.00028420512464,299.99981751398553,5.4108768377548699,11.884040007497845
243.5,-244.5714309065076,311.70705585514452,-250.00028420346837,299.99981751461718,5.4288532969607672,11.70723834052734
244.0,-244.43568233650421,311.43761629556565,-250.00028420174957,299.9998175152943,5.5646018652453506,11.437798780271351
244.5,-244.43063989952802,311.28212704571223,-250.00028419997784,299.99981751601206,5.5696443004498235,11.282309529700171
245.0,-244.81392339186104,311.01802124698963,-250.00028419816263,299.99981751676614,5.1863608063015931,11.01820373022349
245.5,-245.12615143884619,310.79951898877579,-250.00028419631306,299.99981751755172,4.8741327574668674,10.799701471224068
246.0,-245.07376596437069,310.84662742923285,-250.00028419443822,299.99981751836435,4.9265182300675292,10.846809910868501
246.5,-244.73325959750548,310.48876764999011,-250.00028419254701,299.99981751919967,5.2670245950415335,10.488950130790442
247.0,-244.60058515405427,311.00377379202945,-250.00028419064796,299.99981752005334,5.3996990365936881,11.003956271976108
247.5,-244.6603461315519,311.13963364379384,-250.00028418874928,299.99981752092106,5.3399380571973722,11.139816122872787
248.0,-245.40613177872663,310.66997392845144,-250.00028418685892,299.99981752179872,4.5941524081322882,10.670156406652723
248.5,-245.53988659663588,311.05459845738568,-250.00028418498457,299.99981752268195,4.4603975883486839,11.054780934703729
249.0,-245.90051229736116,311.06820447306461,-250.00028418313332,299.99981752356746,4.0997718857721566,11.068386949497153
249.5,-245.68591862208476,310.65280203894525,-250.00028418131205,299.99981752445069,4.3143655592272978,10.652984514494563
250.0,-245.71779505183338,310.52291665850515,-250.00028417952728,299.99981752532881,4.282489127693907,10.523099133176345
250.5,-245.62963152495107,310.45371382122778,-250.00028417778506,299.99981752619766,4.3706526528339964,10.45389629503012
251.0,-245.19193382455234,310.22691586671652,-250.00028417609104,299.9998175270544,4.8083503515387065,10.22709833966212
251.5,-244.73265203242701,310.27291297782875,-250.00028417445048,299.9998175278958,5.2676321420234729,10.273095449932953
252.0,-244.81514024098252,310.50921761551245,-250.00028417286822,299.99981752871889,5.1851439318857047,10.509400086793562
252.5,-245.34832691462466,310.59728074732516,-250.00028417134854,299.99981752952095,4.6519572567238754,10.597463217804204
253.0,-245.37807072050813,310.36703033967211,-250.00028416989545,299.99981753029942,4.622213449387317,10.367212809372688
253.5,-245.65143651950712,310.38234225575246,-250.00028416851231,299.99981753105186,4.3488476490051937,10.382524724700602
254.0,-245.57649973204667,310.79139414102366,-250.00028416720258,299.99981753177622,4.423784435155909,10.791576609247443
254.5,-245.47503612159494,310.31546229947878,-250.00028416596879,299.99981753247056,4.5252480443738534,10.315644767008223
255.0,-245.7008941022863,310.00140880512595,-250.00028416481319,299.99981753313307,4.2993900625268964,10.001591271992879
255.5,-245.88387317203203,309.72232866157424,-250.00028416373752,299.99981753376227,4.116410991705493,9.7225111278119698
256.0,-245.77714039795541,309.28804188470821,-250.00028416274327,299.99981753435696,4.2231437647878636,9.2882243503512427
256.5,-246.03444896990248,309.50571863651822,-250.00028416183142,299.99981753491568,3.9658351919289316,9.5059011016025465
257.0,-245.89499278776867,308.81014007441962,-250.0002841610027,299.99981753543744,4.1052913732340244,8.8103225389821773
257.5,-245.64118381204182,308.94758773757314,-250.00028416025737,299.99981753592164,4.3591003482155486,8.9477702016515082
258.0,-245.7540041629897,308.82494352328541,-250.00028415959534,299.99981753636769,4.2462799966056366,8.8251259869177261
258.5,-245.64294374957601,308.62768742484138,-250.00028415901619,299.99981753677525,4.3573404094401837,8.6278698880661295
259.0,-245.28281989594345,308.19689458256903,-250.00028415851915,299.99981753714383,4.7174642625757031,8.1970770454252033
259.5,-245.57313550240013,308.4963583639817,-250.00028415810317,299.99981753747363,4.4271486557030357,8.4965408265080669
260.0,-245.67814296604141,308.00767396602612,-250.00028415776686,299.99981753776473,4.32214119172545,8.0078564282613911
260.5,-245.70669967961902,308.17780401174775,-250.00028415750864,299.99981753801734,4.2935844778896239,8.1779864737304138
261.0,-245.72943504155995,308.23087671104173,-250.00028415732649,299.99981753823187,4.2708491157665378,8.2310591728098643
261.5,-245.65588050223914,307.92850847959585,-250.0002841572184,299.99981753840893,4.34440365497926,7.9286909411869146
262.0,-245.59517056196927,307.78202828002316,-250.00028415718194,299.99981753854917,4.4051135952126685,7.7822107414739889
262.5,-245.35786448380964,307.62886265172909,-250.00028415721422,299.99981753865364,4.6424196734045893,7.6290451130754491
263.0,-245.37511704751898,307.6191548334719,-250.00028415731273,299.99981753872282,4.6251671097937503,7.619337294749073
263.5,-245.38124040516325,307.78334727974169,-250.00028415747448,299.99981753875812,4.619043752311228,7.7835297409835675
264.0,-245.45553145979804,307.873682571421,-250.0002841576964,299.99981753876057,4.5447526978983603,7.8738650326604329
264.5,-245.32795311298298,308.39272644390297,-250.00028415797522,299.99981753873146,4.6723310449922337,8.3929089051715096
265.0,-244.75158323789185,308.35163804082822,-250.00028415830761,299.99981753867218,5.2487009204157573,8.3518205021560448
265.5,-244.7645944316763,308.63476186909315,-250.00028415869008,299.99981753858401,5.2356897270137779,8.6349443305091427
266.0,-244.84301807754866,308.28494712663741,-250.00028415911913,299.99981753846856,5.1572660815704694,8.2851295881688429
266.5,-245.1551171037693,307.9271669708989,-250.00028415959119,299.99981753832725,4.8451670558218893,7.9273494325716456
267.0,-245.4870262951292,307.82600887359575,-250.00028416010264,299.99981753816184,4.5132578649734398,7.8261913354339185
267.5,-245.75298340954777,307.66947353025949,-250.00028416064981,299.99981753797368,4.2473007511020455,7.6696559922858114
268.0,-246.20964412587779,307.53233553381364,-250.00028416122902,299.99981753776461,3.7906400353512311,7.5325179960490232
268.5,-246.06075923320262,307.16754199027554,-250.00028416183662,299.99981753753633,3.9395249286340004,7.1677244527392077
269.0,-246.49240420733079,307.24386840050141,-250.00028416246903,299.99981753729043,3.507879955138236,7.2440508632109868
269.5,-246.38756638646686,307.08823877291599,-250.00028416312253,299.9998175370286,3.6127177766556713,7.088421235887381
270.0,-246.43768783986573,307.16780438265727,-250.00028416379371,299.99981753675263,3.562596323927977,7.1679868459046361
270.5,-246.23628908022366,307.07356743359469,-250.00028416447901,299.99981753646421,3.763995084255356,7.0737498971304831
271.0,-246.59246229303932,307.10241017703277,-250.00028416517506,299.99981753616493,3.4078218721357416,7.1025926408678401
271.5,-246.40031061868925,307.55854537780334,-250.00028416587853,299.99981753585661,3.5999735471892791,7.5587278419467339
272.0,-245.9508507338048,307.58187089629592,-250.00028416658614,299.99981753554084,4.0494334327813419,7.5820533607550828
272.5,-246.16266728814261,307.30385351173322,-250.00028416729506,299.99981753521905,3.8376168791524492,7.3040359765141716
273.0,-246.53114526480039,307.50853423645253,-250.00028416800171,299.99981753489311,3.4691389032013262,7.5087167015594218
273.5,-246.44850925060629,306.95174181813348,-250.00028416870362,299.9998175345641,3.5517749180973226,6.9519242835693831
274.0,-246.4537500990414,306.68924592402198,-250.00028416939784,299.99981753423441,3.5465340703564436,6.6894283897875653
274.5,-246.04690998330466,306.7913417940706,-250.00028417008193,299.99981753390472,3.9533741867772676,6.7915242601658861
275.0,-246.05924832616682,306.42308195896499,-250.00028417075333,299.99981753357622,3.9410358445865086,6.4232644253887656
275.5,-246.23283161907756,306.6899928775,-250.0002841714097,299.99981753325068,3.7674525523321449,6.6901753442493259
276.0,-245.88699253490492,306.45034502353093,-250.00028417204899,299.99981753292917,4.1132916371440729,6.4505274906017576
276.5,-245.54767551297027,305.79072076759581,-250.00028417266907,299.99981753261301,4.4526086596987966,5.7909032349828067
277.0,-245.78315279008942,306.20610953108803,-250.00028417326806,299.99981753230321,4.2171313831786392,6.2062919987848204
277.5,-245.69858131765966,306.20377213127159,-250.00028417384431,299.99981753200098,4.3017028561846473,6.2039545992706167
278.0,-245.89397783338643,306.44801903518669,-250.00028417439631,299.99981753170709,4.1063063410098835,6.448201503479595
278.5,-246.04087338838474,306.40325791208721,-250.00028417492265,299.99981753142254,3.9594107865379158,6.4034403806646765
279.0,-246.02346338296243,306.23055243967912,-250.00028417542211,299.99981753114815,3.9768207924596766,6.2307349085309625
279.5,-245.76902109024184,306.47953378999557,-250.00028417589363,299.99981753088474,4.2312630856517899,6.4797162591108304
280.0,-245.94341333481412,306.41894852196179,-250.00028417633629,299.99981753063292,4.0568708415221693,6.4191309913288706
280.5,-245.83798189486774,306.67072080471866,-250.00028417674937,299.99981753039339,4.1623022818816366,6.6709032743252692
281.0,-246.0682698535052,306.73611613586706,-250.00028417713233,299.99981753016641,3.9320143236271292,6.7362986057006538
281.5,-246.52821641249241,307.17851753250488,-250.00028417748462,299.99981752995279,3.4720677649922038,7.1787000025520911
282.0,-246.46873529127873,307.01183157596211,-250.00028417780598,299.99981752975276,3.5315488865272471,7.0120140462093445
282.5,-246.54552165826362,306.37164368656153,-250.00028417809628,299.9998175295666,3.4547625198326557,6.3718261569949277
283.0,-246.63062681720498,306.46795012184748,-250.00028417835546,299.99981752939465,3.3696573611504732,6.4681325924528323
283.5,-246.70565623712821,307.21720162027947,-250.00028417858366,299.99981752923702,3.2946279414554454,7.2173840910424474
284.0,-246.84063469665276,307.00689525865829,-250.0002841787811,299.99981752909383,3.1596494821283443,7.0070777295644575
284.5,-246.49090159758259,307.00102911333272,-250.00028417894814,299.99981752896514,3.5093825813655428,7.0012115843675815
285.0,-246.41827711645257,306.85918346782779,-250.00028417908524,299.99981752885088,3.5820070626326697,6.8593659389769073
285.5,-246.895548519497,307.01824095165335,-250.00028417919299,299.99981752875112,3.1047356596959901,7.0184234229022309
286.0,-246.54431097923373,307.16829225558996,-250.000284179272,299.99981752866557,3.4559732000382724,7.1684747269243871
286.5,-246.81317994316231,307.33575954217628,-250.00028417932316,299.99981752859406,3.1871042361608488,7.335942013582212
287.0,-246.72908487118761,307.42514340177991,-250.0002841793472,299.99981752853637,3.2711993081595949,7.425325873243537
287.5,-246.52888907381191,307.2052002784236,-250.00028417934516,299.9998175284922,3.4713951055332473,7.2053827499314025
288.0,-246.44313149807834,307.43143394997264,-250.00028417931802,299.99981752846128,3.5571526812396712,7.4316164215113645
288.5,-246.41674967812122,307.49572442859363,-250.00028417926677,299.99981752844326,3.5835345011455502,7.4959069001503735
289.0,-246.49350444877888,307.65834103672756,-250.00028417919268,299.99981752843763,3.5067797304137969,7.6585235082899317
289.5,-246.64689102601093,307.91876196493115,-250.00028417909689,299.99981752844394,3.3533931530859604,7.9189444364872088
290.0,-246.70062841449982,307.61289777006493,-250.00028417898065,299.99981752846173,3.299655764480832,7.6130802416031997
290.5,-246.60360518497649,307.6581215948367,-250.00028417884519,299.99981752849044,3.3966789938687043,7.6583040663462612
291.0,-246.99792882152758,307.35037221312575,-250.00028417869183,299.99981752852949,3.0023553571642481,7.3505546845962613
291.5,-247.01636880011864,307.58009968430804,-250.00028417852189,299.99981752857855,2.9839153784032533,7.5802821557294919
292.0,-246.44917417296969,307.37216387440242,-250.00028417833678,299.99981752863681,3.551110005367093,7.3723463457656067
292.5,-246.40460451524186,307.45100959929903,-250.00028417813778,299.99981752870377,3.5956796628959182,7.4511920705952548
293.0,-246.87213834130375,307.49447337861574,-250.00028417792626,299.99981752877869,3.1281458366225081,7.494655849837045
293.5,-247.33636298111242,307.0207203088637,-250.00028417770363,299.99981752886112,2.6639211965912182,7.0209027800025865
