time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
22.5;-250.3220388528;299.3858091457;-0.9999965558;-250.0002851821;299.9997369055;-1.0000611532;0.3217536707;0.6139277598;6.45973865217586E-05;0.6931325436
23;-250.2499512607;299.3978501136;-1.0001745109;-250.0002963092;299.9997308187;-1.0000586946;0.2496549515;0.6018807051;0.0001158162;0.6516041677
23.5;-250.1764085411;299.3848063103;-1.0000808576;-250.0003071795;299.9997251245;-1.0000559558;0.1761013616;0.6149188142;2.49017175764088E-05;0.6396380526
24;-250.0882306877;299.4584672843;-1.0001714025;-250.0003177572;299.9997198296;-1.0000529427;0.0879129306;0.5412525453;0.0001184598;0.5483457077
24.5;-250.1777101729;299.4732899195;-1.0001808376;-250.0003280082;299.9997149384;-1.0000496618;0.1773821647;0.5264250188;0.0001311758;0.5555067506
25;-250.196333811;299.3759365149;-1.0000424949;-250.0003379006;299.9997104535;-1.0000461208;0.1959959105;0.6237739386;0.000003626;0.6538412066
25.5;-250.1562243336;299.3597652069;-0.9998409052;-250.0003474039;299.9997063759;-1.000042328;0.1558769297;0.6399411689;0.0002014227;0.6586519244
26;-250.2182870975;299.3251541445;-0.9999179682;-250.0003564903;299.9997027045;-1.0000382921;0.2179306072;0.67454856;0.0001203239;0.7088790615
26.5;-250.2349914956;299.3920538482;-1.0000898081;-250.0003651339;299.9996994368;-1.0000340227;0.2346263618;0.6076455886;5.57853582154877E-05;0.6513698597
27;-250.1752611298;299.3543080755;-1.0001228537;-250.0003733112;299.9996965689;-1.0000295296;0.1748878186;0.6453884933;9.33240859333218E-05;0.668664389
27.5;-250.1302626169;299.4105384718;-0.9999724233;-250.0003810011;299.9996940952;-1.0000248232;0.1298816159;0.5891556234;5.23998578967344E-05;0.603302234
28;-250.1290524136;299.4282688345;-1.000012542;-250.000388185;299.9996920092;-1.0000199144;0.1286642286;0.5714231747;7.37236632941674E-06;0.5857293985
28.5;-250.0880663298;299.4797110306;-0.9999515947;-250.0003948467;299.9996903029;-1.0000148162;0.0876714831;0.5199792722;6.32214422896515E-05;0.5273184394
29;-250.0731733594;299.5063665186;-0.9999831132;-250.0004009726;299.9996889671;-1.0000095486;0.0727723867;0.4933224486;2.64353871587408E-05;0.4986610665
29.5;-250.0337090112;299.471052507;-1.0001035863;-250.0004065509;299.9996879907;-1.0000041677;0.0333024603;0.5286354837;9.94185621752131E-05;0.5296834322
30;-250.0367897519;299.5324594601;-1.0002338765;-250.000411576;299.999687367;-0.9999990765;0.0363781759;0.4672279069;0.0002348001;0.468642021
30.5;-250.0909877926;299.4982641012;-1.000122678;-250.0004160439;299.9996870872;-0.9999937408;0.0905717487;0.501422986;0.0001289372;0.5095373089
31;-250.1122818925;299.5294383153;-0.9999118476;-250.0004199483;299.9996871338;-0.9999873199;0.1118619442;0.4702488185;7.54722655361695E-05;0.4833705117
31.5;-250.0777629574;299.5274699862;-1.0000858259;-250.0004232876;299.9996874921;-0.9999795377;0.0773396698;0.4722175059;0.0001062882;0.4785089432
32;-250.0196531849;299.5215160848;-1.0000097316;-250.0004260638;299.9996881481;-0.999970406;0.0192271211;0.4781720633;3.93255905136725E-05;0.4785584665
32.5;-249.8690711543;299.5317745482;-0.9998173242;-250.000428282;299.9996890886;-0.999960115;0.1313571277;0.4679145404;0.0001427908;0.4860028112
33;-249.8132712781;299.5193232242;-1.0000425262;-250.0004299494;299.9996903001;-0.99994898;0.1871586713;0.4803670758;9.35461469250276E-05;0.5155394306
33.5;-249.8697424777;299.5210577521;-0.9999077537;-250.0004310751;299.999691769;-0.9999374211;0.1306885975;0.4786340169;2.96674283097875E-05;0.4961552504
34;-249.9103675526;299.4685051323;-0.9998965127;-250.0004316702;299.9996934819;-0.9999259716;0.0900641176;0.5311883496;2.94588702154375E-05;0.5387695322
34.5;-249.8275187077;299.3749660729;-1.0000004088;-250.000431748;299.9996954272;-0.9999153752;0.1729130403;0.6247293543;8.50335905939748E-05;0.6482173192
35;-249.7978177703;299.3738958841;-1.0001367957;-250.0004313162;299.9996975826;-0.9999074322;0.202613546;0.6258016985;0.0002293636;0.6577842105
35.5;-249.8008601978;299.3787281168;-0.9998075959;-250.0004303892;299.9996999358;-0.9999021889;0.1995701915;0.6209718189;0.000094593;0.6522532255
36;-249.7633174461;299.3936967075;-0.9997994444;-250.0004289876;299.9997024805;-0.9998984669;0.2371115415;0.606005773;9.902250390037E-05;0.6507417997
36.5;-249.7400507354;299.3416780217;-0.9999237326;-250.0004271304;299.9997052048;-0.9998958152;0.260376395;0.658027183;2.79173882855588E-05;0.707669161
37;-249.7110738994;299.3219964862;-0.999890803;-250.0004248372;299.9997080943;-0.9998939844;0.2893509378;0.677711608;3.18139938226825E-06;0.7368968645
37.5;-249.7309069493;299.373801338;-1.0000338193;-250.0004221286;299.9997111343;-0.999892823;0.2695151793;0.6259097963;0.0001409964;0.6814701202
38;-249.8174929096;299.3058255372;-1.000071025;-250.0004190268;299.9997143103;-0.9998922303;0.1829261172;0.6938887731;0.0001787947;0.7175957258
38.5;-249.9455125634;299.3382104107;-0.9999123387;-250.0004155552;299.9997176081;-0.9998921349;0.0549029918;0.6615071973;2.02037382861509E-05;0.6637816742
39;-249.9279475641;299.3580931803;-0.9998544658;-250.0004117383;299.9997210142;-0.9998924828;0.0724641742;0.6416278339;3.80170563384352E-05;0.6457068493
39.5;-249.9504854612;299.3622366927;-1.0000163204;-250.0004076014;299.9997245156;-0.9998932309;0.0499221402;0.6374878228;0.0001230896;0.6394395667
40;-249.966532576;299.385620492;-0.9999884335;-250.0004031707;299.9997280994;-0.999894343;0.0338705947;0.6141076073;9.4090497710031E-05;0.6150409575
40.5;-250.1121093582;299.2861643789;-0.9998816845;-250.0003984727;299.9997317534;-0.999895788;0.1117108855;0.7135673744;1.41034969096676E-05;0.7222587625
41;-250.0878087309;299.296598526;-0.9998213308;-250.0003935344;299.9997354654;-0.9998975377;0.0874151965;0.7031369394;0.000076207;0.7085499121
41.5;-250.0437401594;299.2703556408;-0.9998053839;-249.9999441336;299.999047485;-0.9998954785;0.0437960258;0.7286918442;9.00946723060292E-05;0.7300067834
42;-250.0192156741;299.3269309401;-0.9999740191;-249.9759340317;299.9616739285;-0.9998966227;0.0432816424;0.6347429884;7.73964644080749E-05;0.6362169189
42.5;-249.9744276235;299.2996255139;-0.9998005123;-249.9253017569;299.8828472961;-0.9998805352;0.0491258666;0.5832217822;8.0022817532388E-05;0.5852871128
43;-249.9308266172;299.3361779114;-1.000037503;-249.8638265594;299.7871374485;-0.9998718012;0.0670000578;0.4509595372;0.0001657018;0.4559095737
43.5;-249.9578103978;299.2552920984;-1.0000025467;-249.797617947;299.6840578379;-0.9998615606;0.1601924508;0.4287657395;0.000140986;0.4577135573
44;-249.8815923768;299.1848195649;-0.9997906714;-249.7289843129;299.5772026669;-0.999862517;0.1526080639;0.392383102;7.18455646729899E-05;0.4210151127
44.5;-249.752489526;299.0398708286;-0.9999675727;-249.6588035906;299.4679383586;-0.9998636661;0.0936859354;0.4280675299;0.0001039065;0.4381995841
45;-249.7686718968;298.9572289841;-0.9999056168;-249.6005732217;299.3772792852;-0.9998884368;0.1680986751;0.4200503011;0.00001718;0.4524372004
45.5;-249.7952151765;298.9188957824;-0.9998583327;-249.573587773;299.3352663616;-0.9999285578;0.2216274036;0.4163705791;7.02251522856079E-05;0.4716812166
46;-249.8520115351;299.0152348998;-0.9998597085;-249.5559580993;299.3078183617;-0.9999468827;0.2960534358;0.2925834619;8.71741319278252E-05;0.4162363831
