time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
31;-250.0003875924;305.0414235227;-1.1656502197;-249.9969866625;299.9913795773;-1.1924074799;0.0034009299;5.0500439454;0.0267572602;5.0501159757
31.5;-249.9678195992;305.127291166;-1.1924282393;-249.9786739459;299.9458456629;-1.1911314904;0.0108543467;5.1814455031;0.0012967489;5.1814570344
32;-249.9678195992;305.127291166;-1.1924282393;-249.9457034806;299.8634148023;-1.1930046224;0.0221161186;5.2638763637;0.0005763831;5.2639228554
32.5;-249.8851869926;305.0909878718;-1.1921179736;-249.9089442736;299.7714135888;-1.1928308309;0.0237572811;5.319574283;0.0007128574;5.3196273806
33;-249.8851869926;305.0909878718;-1.1921179736;-249.8639359267;299.6587635032;-1.1891691928;0.0212510659;5.4322243686;0.0029487808;5.4322667363
33.5;-249.8089249977;305.0642772563;-1.1887402349;-249.8257515033;299.5635495595;-1.1885948403;0.0168265056;5.5007276968;0.0001453946;5.5007534345
34;-249.8089249977;305.0642772563;-1.1887402349;-249.7813299165;299.4530721532;-1.1884740957;0.0275950813;5.6112051032;0.0002661392;5.6112729634
34.5;-249.714390993;304.9995256858;-1.1883501758;-249.7347307919;299.3372829181;-1.1885574418;0.0203397989;5.6622427677;0.000207266;5.6622793035
35;-249.714390993;304.9995256858;-1.1883501758;-249.6932304861;299.2341807216;-1.1887367383;0.021160507;5.7653449642;0.0003865624;5.7653838097
35.5;-249.616424588;304.9194020682;-1.18880336;-249.6395031866;299.1006596217;-1.1888691714;0.0230785986;5.8187424465;6.58113932014981E-05;5.8187882145
36;-249.616424588;304.9194020682;-1.18880336;-249.5891370584;298.9754299557;-1.1891472176;0.0272875297;5.9439721125;0.0003438576;5.9440347578
36.5;-249.5137899799;304.8308622041;-1.189093853;-249.5430100793;298.86067935;-1.1893101241;0.0292200994;5.9701828541;0.0002162711;5.9702543641
37;-249.5137899799;304.8308622041;-1.189093853;-249.4859399482;298.7186184193;-1.1895801311;0.0278500317;6.1122437848;0.0004862781;6.1123072523
37.5;-249.408961442;304.7363388099;-1.1898434468;-249.4335111604;298.5880230042;-1.1897697372;0.0245497183;6.1483158058;7.370959370534E-05;6.1483648185
38;-249.408961442;304.7363388099;-1.1898434468;-249.3805180504;298.4559329737;-1.1900192958;0.0284433916;6.2804058362;0.000175849;6.2804702471
38.5;-249.3018404771;304.6357746993;-1.1902714608;-249.3269505593;298.3223200714;-1.190262642;0.0251100823;6.3134546278;8.81872635205561E-06;6.313504562
39;-249.3018404771;304.6357746993;-1.1902714608;-249.2728117731;298.1871872246;-1.1904838564;0.0290287039;6.4485874747;0.0002123956;6.4486528151
39.5;-249.1924379162;304.5291588653;-1.1907087588;-249.218108741;298.0505491292;-1.190769067;0.0256708248;6.4786097361;6.0308218799987E-05;6.4786605952
40;-249.1924379162;304.5291588653;-1.1907087588;-249.1628506692;297.9124243476;-1.190979698;0.029587247;6.6167345177;0.0002709392;6.6168006737
40.5;-249.0807888316;304.4166496875;-1.191039926;-249.1079548913;297.7751079878;-1.1912611075;0.0271660598;6.6415416996;0.0002211815;6.6415972621
41;-249.0807888316;304.4166496875;-1.191039926;-249.0621168518;297.6603711413;-1.1915853894;0.0186719797;6.7562785462;0.0005454634;6.7563043696
41.5;-248.9711710552;304.3087913345;-1.1915574781;-249.0020759435;297.5099370229;-1.1917957671;0.0309048884;6.7988543116;0.000238289;6.798924556
42;-248.9711710552;304.3087913345;-1.1915574781;-248.9456097079;297.3683382022;-1.1921534889;0.0255613473;6.9404531322;0.0005960107;6.9405002283
42.5;-248.8629620374;304.2039378559;-1.1923422315;-248.8921911666;297.2342921211;-1.1926854474;0.0292291292;6.9696457348;0.0003432159;6.9697070332
43;-248.8629620374;304.2039378559;-1.1923422315;-248.8532012613;297.1364091785;-1.1948022337;0.009760776;7.0675286775;0.0024600022;7.0675358458
43.5;-248.8193099583;304.2609822257;-1.1964913502;-248.8313690973;297.0815697571;-1.1985364647;0.012059139;7.1794124686;0.0020451145;7.1794228876
44;-248.8193099583;304.2609822257;-1.1964913502;-248.8233493687;297.0614700043;-1.2024209805;0.0040394103;7.1995122214;0.0059296303;7.1995157964
44.5;-248.8189316579;304.4271231627;-1.2050391977;-248.822635608;297.0599127712;-1.2075535843;0.0037039501;7.3672103915;0.0025143866;7.3672117516
45;-248.8189316579;304.4271231627;-1.2050391977;-248.8259331936;297.0685727106;-1.2127545599;0.0070015357;7.358550452;0.0077153623;7.3585578277
45.5;-248.8272001262;304.6153745029;-1.2155693472;-248.8296118587;297.0781965938;-1.2181264445;0.0024117325;7.5371779091;0.0025570973;7.5371787287
46;-248.8272001262;304.6153745029;-1.2155693472;-248.8334716778;297.0882902594;-1.2258402471;0.0062715516;7.5270842435;0.0102708999;7.5270938637
46.5;-248.8321528906;304.7948847374;-1.2297975562;-248.835938839;297.0947063898;-1.234026301;0.0037859484;7.7001783476;0.0042287449;7.7001804395
47;-248.8321528906;304.7948847374;-1.2297975562;-248.8375228088;297.0987533445;-1.2431170169;0.0053699181;7.6961313929;0.0133194607;7.6961447921
47.5;-248.8341258711;304.9663761187;-1.2478062462;-248.8385120539;297.1011891121;-1.2520461052;0.0043861828;7.8651870066;0.0042398591;7.8651893724
48;-248.8341258711;304.9663761187;-1.2478062462;-248.8391239005;297.1026253361;-1.2573590958;0.0049980295;7.8637507826;0.0095528496;7.8637581733
48.5;-248.8352212958;305.1355088036;-1.2594771785;-248.8397309186;297.1040070184;-1.2603766454;0.0045096228;8.0315017851;0.0008994669;8.0315031016
49;-248.8352212958;305.1355088036;-1.2594771785;-248.8402651509;297.105234472;-1.261502352;0.0050438552;8.0302743315;0.0020251735;8.0302761709
49.5;-248.8363528141;305.3048314612;-1.2617824487;-248.8407706928;297.1064261992;-1.2616086661;0.0044178787;8.198405262;0.0001737827;8.1984064541
50;-248.8363528141;305.3048314612;-1.2617824487;-248.8414258509;297.1080072959;-1.2610096929;0.0050730368;8.1968241653;0.0007727559;8.1968257716
50.5;-248.8375932653;305.4745293799;-1.2606041205;-248.8420438118;297.1095215743;-1.260052341;0.0044505465;8.3650078056;0.0005517796;8.3650090078
51;-248.8375932653;305.4745293799;-1.2606041205;-248.8426043136;297.1109042865;-1.2589960117;0.0050110484;8.3636250933;0.0016081089;8.3636267491
51.5;-248.8388247189;305.6475677997;-1.2579240653;-248.8432803719;297.1125757592;-1.2575552576;0.0044556529;8.5349920406;0.0003688077;8.5349932116
52;-248.8388247189;305.6475677997;-1.2579240653;-248.8438775706;297.1140519116;-1.2561529534;0.0050528517;8.5335158881;0.0017711119;8.5335175679
52.5;-248.8399772212;305.8137479539;-1.2555271833;-248.8444537632;297.1154749305;-1.254689189;0.004476542;8.6982730234;0.0008379943;8.6982742157
53;-248.8399772212;305.8137479539;-1.2555271833;-248.8449536455;297.1167096769;-1.2533237488;0.0049764244;8.697038277;0.0022034345;8.6970399799
53.5;-248.8410413845;305.9830521274;-1.2524967876;-248.8455406464;297.1181627628;-1.251593184;0.0044992619;8.8648893646;0.0009036037;8.8648905525
54;-248.8410413845;305.9830521274;-1.2524967876;-248.8460518389;297.1194345359;-1.2500310226;0.0050104545;8.8636175915;0.002465765;8.8636193507
54.5;-248.8420211447;306.1521773081;-1.2492403827;-248.8464941869;297.1205427052;-1.2486770591;0.0044730421;9.0316346029;0.0005633236;9.0316357281
55;-248.8420211447;306.1521773081;-1.2492403827;-248.8470126141;297.1218537963;-1.2471274809;0.0049914694;9.0303235119;0.0021129018;9.0303251386
55.5;-248.8429209859;306.3211490339;-1.2464019869;-248.847463221;297.1230065837;-1.2458339854;0.0045422351;9.1981424502;0.0005680015;9.1981435893
56;-248.8429209859;306.3211490339;-1.2464019869;-248.8478946855;297.1241234256;-1.2446482538;0.0049736996;9.1970256083;0.0017537331;9.1970271204
56.5;-248.8437470535;306.4899819826;-1.2442083887;-248.8483086359;297.1252068931;-1.2436088712;0.0045615824;9.3647750895;0.0005995175;9.3647762197
57;-248.8437470535;306.4899819826;-1.2442083887;-248.8487060001;297.1262561249;-1.2426647899;0.0049589467;9.3637258577;0.0015435988;9.3637272981
57.5;-248.8445087627;306.6586783106;-1.2422252812;-248.8490877095;297.1272716886;-1.2417149595;0.0045789467;9.5314066221;0.0005103218;9.5314077356
58;-248.8445087627;306.6586783106;-1.2422252812;-248.8494545676;297.1282549269;-1.2407227571;0.0049458048;9.5304233838;0.0015025241;9.5304247855
58.5;-248.8452127036;306.830581052;-1.2401443531;-248.8498071617;297.1292070456;-1.2396807224;0.004594458;9.7013740063;0.0004636306;9.7013751053
59;-248.8452127036;306.830581052;-1.2401443531;-248.8501461173;297.1301295446;-1.2385926893;0.0049334137;9.7004515074;0.0015516637;9.700452886
59.5;-248.8458630505;306.995701128;-1.2381578391;-248.8504720647;297.1310239987;-1.2374661834;0.0046090142;9.8646771293;0.0006916557;9.8646782303
